"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U10";"TXS0104EPWR";1;"TXS0104EPWR";;;
2;"D3,D5,D10,D4";"SOD-323";4;"BAT20J";;;
3;"K22,K25,K31,K28,K24,K9,K30,K20,K41,K32,K26,K19,K35,K38,K34,K8,K37,K36,K14,K13,K7,K29,K40,K16,K23,K15,K17,K39,K6,K5,K21,K18,K27,K33";"HEADER_MALE_1X1_Inkplate";34;"HEADER_MALE_1X1_Inkplate";;;
4;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
5;"R17,R18,R49";"0603R";3;"5k1";;;
6;"C13,C4,C3,C12,C8,C11,C7,C1,C5,C2";"0805C";10;"4u7-TMK212AB7475KG-T";;;
7;"K4";"easyC-connector";1;"easyC-SMD";;;
8;"C41,C42,C59,C40,C49,C51,C63,C58,C53,C61,C65,C23,C45,C60,C32,C38,C27,C64,C22,C35,C26,C47,C48,C57,C62,C33,C66";"0603C";27;"100n";;;
9;"K42,K43";"APDS_connector";2;"APDS_connector";;;
10;"PAD4,PAD2,PAD3,PAD5,PAD1";"PAD_4x4";5;"PAD_4x4";;;
11;"R19,R34,R21,R35,R33,R31";"0603R";6;"1k";;;
12;"R39,R38,R42,R41,R36,R3,R43,R52,R47,R44,R5,R51,R53,R60,R4,R37";"0603R";16;"100k";;;
13;"C15,C14";"0603C";2;"2u2-GRM188R61E225MA12D";;;
14;"R10,R6,R8,R7,R9";"0603R";5;"4k7";;;
15;"R11";"0603R";1;"NTC-NCP18XH103F03RB";;;
16;"SW3,SW2";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
17;"JP1,JP4";"SMD_JUMPER";2;"SMD_JUMPER";;;
18;"R2,R1,R46,R55,R58,R54,R56,R28,R26,R30,R29,R40,R57,R61";"0603R";14;"10k";;;
19;"JP2";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT_TRACE";1;"SMD_JUMPER_3_PAD_CONNECTED_RIGHT_TRACE";;;
20;"C30,C54";"2917C";2;"DNP";;;
